ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,ROAD_FNC,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,Unnamed: 53,person_count,SPEEDREL,L_STATUS
10197,1,101,4,2014,5,17,13,12,0,1,1,0,,,,2,,
10198,1,125,4,2014,7,1,14,42,0,10,1,1,,,,1,1.0,
10199,1,35,4,2014,7,20,6,42,0,1,1,1,,,,1,1.0,
10200,1,9,4,2014,1,1,2,59,0,1,1,1,,,,1,1.0,1.0
10201,1,3,4,2014,1,19,13,12,0,10,1,0,,,,4,,
10202,1,51,4,2014,4,21,4,53,0,1,1,1,,,,1,1.0,
10203,1,89,4,2014,5,20,16,30,0,1,1,1,,,,1,,
10204,1,91,4,2014,7,0,6,42,0,2,1,1,,,,1,1.0,
10205,1,25,4,2014,3,12,2,12,0,1,1,0,,,,3,,
10206,1,125,4,2014,7,21,3,32,0,1,1,0,,,,2,1.0,
10207,1,117,4,2014,7,23,3,1,0,1,1,1,,,,1,,
10208,1,67,4,2014,6,8,2,34,0,2,1,0,,,,1,1.0,
10209,1,127,4,2014,6,11,16,1,0,10,1,0,,,,1,1.0,1.0
10210,1,27,4,2014,7,17,4,11,0,1,1,0,,,,1,,
10211,1,125,4,2014,2,8,14,34,0,1,1,0,,,,1,,
10212,1,97,2,2014,2,10,2,12,0,10,1,0,,,,4,,
10213,1,103,4,2014,6,9,13,12,0,10,2,0,,,,4,,
10214,1,43,4,2014,4,8,13,12,0,1,1,0,,,,3,,
10215,1,43,4,2014,7,11,13,12,0,1,1,0,,,,3,,
10216,1,73,4,2014,3,13,13,12,0,10,1,0,,,,3,,
10217,1,73,4,2014,5,15,13,30,0,1,1,0,,,,2,,
10218,1,35,4,2014,7,8,6,42,0,1,1,1,,,,1,1.0,1.0
10219,1,97,4,2014,2,8,3,12,0,10,1,0,,,,4,,
10220,1,19,4,2014,4,5,3,12,0,1,1,0,,,,2,1.0,
10221,1,39,4,2014,6,7,3,12,1,2,1,0,,,,2,1.0,
10222,1,97,4,2014,6,22,6,42,0,10,1,1,,,,1,,
10223,1,115,4,2014,7,23,1,8,0,1,1,0,,,,3,,
10224,1,7,4,2014,3,13,2,12,1,10,1,1,,,,2,,1.0
10225,1,73,4,2014,3,21,1,1,0,1,1,0,,,,1,,
10226,1,103,4,2014,7,1,4,42,0,10,1,1,,,,1,,
10227,1,49,4,2014,7,6,1,1,0,1,1,0,,,,1,,
10228,1,51,4,2014,6,3,14,8,0,1,1,0,,,,2,,
10229,1,55,3,2014,2,7,13,12,0,1,3,0,,,,4,,
10230,1,77,3,2014,5,17,6,5,0,1,1,1,,,,3,,2.0
10231,1,69,4,2014,3,7,13,12,0,2,1,0,,,,3,,
10232,1,87,4,2014,3,7,4,30,0,2,1,0,,,,2,1.0,
10233,1,103,4,2014,7,10,2,59,0,1,1,0,,,,2,,
10234,1,53,4,2014,7,22,3,1,0,1,1,1,,,,1,1.0,1.0
10235,1,47,4,2014,6,17,6,10,0,1,1,1,,,,1,,
10236,1,3,4,2014,1,0,5,42,0,5,1,1,,,,2,1.0,
10237,1,25,4,2014,1,12,6,42,0,10,1,0,,,,1,1.0,
10238,1,97,4,2014,2,11,4,12,0,10,1,0,,,,6,,
10239,1,33,4,2014,4,13,2,12,0,1,1,0,,,,3,,
10240,1,125,5,2014,7,0,1,38,0,1,1,1,,,,1,,
10241,1,115,5,2014,7,21,4,42,0,1,1,0,,,,1,,1.0
10242,1,115,5,2014,2,1,4,1,0,1,1,1,,,,2,,1.0
10243,1,43,5,2014,3,22,2,1,0,10,1,1,,,,1,,
10244,1,69,5,2014,1,1,13,8,0,1,1,0,,,,2,,
10245,1,7,5,2014,5,20,2,12,0,1,1,0,,,,3,,
10246,1,131,5,2014,5,15,3,43,0,1,1,0,,,,1,1.0,
10247,1,73,5,2014,7,22,3,12,0,10,1,0,,,,3,,
10248,1,3,5,2014,2,13,3,59,0,1,1,0,,,,1,,
10249,1,45,5,2014,6,18,5,12,0,10,1,1,,,,2,1.0,1.0
10250,1,51,5,2014,7,22,4,8,0,1,1,0,,,,2,,
10251,1,89,5,2014,2,13,13,12,0,1,1,0,,,,6,,
10252,1,117,5,2014,2,14,14,12,0,1,1,0,,,,3,,
10253,1,73,4,2014,6,9,13,8,0,1,1,1,,,,2,,
10254,1,73,5,2014,5,6,4,38,0,1,1,0,,,,1,,
10255,1,73,5,2014,5,9,4,32,0,10,1,0,,,,1,,
10256,1,117,4,2014,3,2,2,12,0,2,1,1,,,,2,,
10257,1,73,5,2014,6,3,11,8,2,1,1,0,,,,2,,
10258,1,97,5,2014,7,17,16,9,0,1,1,1,,,,5,1.0,1.0
10259,1,15,5,2014,7,6,15,10,0,10,2,0,,,,3,,
10260,1,33,5,2014,7,15,2,12,0,1,2,0,,,,3,,
10261,1,69,5,2014,1,14,2,12,0,1,2,0,,,,2,2.0,
10262,1,71,5,2014,4,7,5,12,1,1,1,0,,,,5,,
10263,1,51,5,2014,4,17,6,1,0,1,1,1,,,,1,,1.0
10264,1,53,5,2014,4,13,1,12,0,1,1,0,,,,2,2.0,
10265,1,61,5,2014,5,19,5,12,0,1,1,0,,,,2,,
10266,1,127,5,2014,2,21,2,34,0,1,1,1,,,,1,,
10267,1,15,5,2014,2,17,3,12,0,1,1,0,,,,2,,
10268,1,81,5,2014,3,14,6,12,0,1,1,0,,,,2,,
10269,1,125,5,2014,3,20,4,35,0,1,1,1,,,,1,,
10270,1,111,5,2014,6,18,14,12,0,1,1,0,,,,3,1.0,
10271,1,89,5,2014,2,9,12,25,0,1,1,0,,,,1,,
10272,1,55,5,2014,6,20,15,8,0,10,1,0,,,,3,,
10273,1,89,5,2014,4,15,4,12,0,1,1,1,,,,3,,
10274,1,97,5,2014,6,16,5,12,0,10,1,0,,,,4,1.0,
10275,1,125,5,2014,6,8,2,42,0,1,1,0,,,,1,,
10276,1,101,5,2014,7,12,13,12,0,1,1,0,,,,4,,
10277,1,87,5,2014,1,5,3,1,0,1,1,1,,,,2,,
10278,1,1,5,2014,1,20,4,42,0,1,1,0,,,,1,1.0,
10279,1,95,5,2014,2,20,5,32,0,1,1,0,,,,4,1.0,
10280,1,21,5,2014,3,16,3,12,0,1,1,0,,,,2,,1.0
10281,1,55,5,2014,3,22,16,10,0,1,1,0,,,,1,,1.0
10282,1,127,5,2014,4,21,4,1,0,1,1,0,,,,1,,
10283,1,131,5,2014,6,22,3,35,0,10,1,0,,,,1,1.0,1.0
10284,1,71,5,2014,7,1,6,42,0,1,1,1,,,,2,1.0,1.0
10285,1,121,5,2014,3,16,19,12,0,1,2,1,,,,5,,
10286,1,125,5,2014,4,0,16,8,0,1,1,0,,,,2,,1.0
10287,1,21,5,2014,6,1,3,42,0,1,1,0,,,,1,,
10288,1,73,1,2014,1,5,11,12,0,1,1,1,,,,3,,1.0
10289,1,35,6,2014,7,8,4,12,0,1,1,0,,,,2,,1.0
10290,1,59,6,2014,7,2,6,53,0,10,1,0,,,,1,1.0,
10291,1,7,6,2014,5,0,2,42,0,1,1,0,,,,1,,
10292,1,127,6,2014,4,19,6,42,0,1,1,1,,,,1,1.0,
10293,1,73,6,2014,4,12,11,34,0,10,1,0,,,,1,,
10294,1,55,6,2014,3,19,13,24,0,10,1,1,,,,1,1.0,1.0
10295,1,69,5,2014,6,18,14,59,0,10,1,0,,,,1,,
10296,1,127,6,2014,2,15,3,8,0,10,1,0,,,,3,,1.0
10297,1,19,6,2014,2,13,4,1,0,10,1,0,,,,1,1.0,
10298,1,21,6,2014,1,14,4,12,0,10,1,0,,,,2,1.0,1.0
10299,1,9,6,2014,1,1,5,42,0,10,1,1,,,,3,1.0,1.0
10300,1,21,6,2014,1,3,1,34,0,10,1,0,,,,4,,1.0
10301,1,69,5,2014,7,10,2,12,0,10,1,0,,,,3,,
10302,1,109,5,2014,5,15,2,12,0,10,1,0,,,,2,,
10303,1,25,5,2014,4,19,2,42,0,2,1,0,,,,2,1.0,
10304,1,89,5,2014,7,13,4,12,0,1,1,0,,,,2,,
10305,1,117,5,2014,6,23,5,42,0,1,1,1,,,,1,,
10306,1,69,5,2014,2,15,2,12,0,1,1,0,,,,2,,1.0
10307,1,3,5,2014,5,14,1,12,0,1,1,0,,,,3,,
10308,1,43,5,2014,4,6,15,12,0,1,1,0,,,,2,,
10309,1,73,5,2014,1,15,13,42,0,1,1,0,,,,1,,
10310,1,125,5,2014,2,22,14,34,0,1,1,0,,,,2,,
10311,1,3,5,2014,6,10,5,18,1,1,1,0,,,,1,,
10312,1,25,5,2014,6,11,4,1,0,1,1,0,,,,1,1.0,
10313,1,3,4,2014,4,14,2,12,0,1,1,1,,,,2,,1.0
10314,1,73,5,2014,4,3,11,8,0,1,1,0,,,,3,,1.0
10315,1,73,5,2014,5,18,11,12,0,1,2,1,,,,5,,
10316,1,99,5,2014,7,23,2,12,0,1,3,1,,,,8,,
10317,1,91,6,2014,3,12,2,1,0,1,1,1,,,,1,,
10318,1,1,6,2014,2,20,2,42,0,1,1,0,,,,1,,
10319,1,73,6,2014,6,20,11,1,0,2,1,0,,,,1,,1.0
10320,1,111,6,2014,5,0,2,1,0,10,1,1,,,,1,,
10321,1,89,6,2014,6,3,4,30,0,1,1,1,,,,1,,1.0
10322,1,37,6,2014,7,15,2,12,0,1,1,0,,,,3,1.0,
10323,1,113,6,2014,7,23,3,8,0,1,1,0,,,,2,,
10324,1,43,6,2014,6,22,5,42,0,10,1,0,,,,1,1.0,
10325,1,81,6,2014,6,13,13,12,0,1,1,0,,,,3,,
10326,1,73,6,2014,7,23,11,12,0,2,1,0,,,,4,1.0,
10327,1,87,6,2014,2,16,1,1,1,10,1,0,,,,1,,
10328,1,73,6,2014,1,9,16,10,0,1,1,0,,,,1,,1.0
10329,1,79,6,2014,3,14,4,12,0,1,1,0,,,,3,,
